ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
1203465,2.0,Bacteria,976.0,Bacteroidota,200643.0,Bacteroidia,171549.0,Bacteroidales,815.0,Bacteroidaceae,816.0,Bacteroides,1470345.0,Bacteroides timonensis,isolate,Bacteroides timonensis AP1,37.00,37.00,37.0,original,optimum,Tempura,Tempura4793,1203465,False,False,False,False
1211814,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,1468413.0,Bacillus massilioanorexius,strain,Bacillus massilioanorexius AP8,37.00,37.00,37.0,original,optimum,Tempura,Tempura1660,1211814,False,False,False,False
1223514,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85007.0,Mycobacteriales,1653.0,Corynebacteriaceae,1716.0,Corynebacterium,1223514.0,Corynebacterium humireducens,species,Corynebacterium humireducens,37.00,37.00,37.0,original,optimum,Tempura,Tempura1689,1223514,False,False,False,False
1229157,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186823.0,Alicyclobacillaceae,432330.0,Tumebacillus,1229157.0,Tumebacillus soli,species,Tumebacillus soli,37.00,37.00,37.0,original,optimum,Tempura,Tempura1687,1229157,False,False,False,False
1247518,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,182709.0,Oceanobacillus,1247518.0,Oceanobacillus pacificus,species,Oceanobacillus pacificus,37.00,37.00,37.0,original,optimum,Tempura,Tempura2745,1247518,False,False,False,False
1285900,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,1285900.0,Bacillus fengqiuensis,species,Bacillus fengqiuensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura1679,1285900,False,False,False,False
1285924,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85010.0,Pseudonocardiales,2070.0,Pseudonocardiaceae,1835.0,Saccharopolyspora,1285924.0,Saccharopolyspora halotolerans,species,Saccharopolyspora halotolerans,37.00,37.00,37.0,original,optimum,Tempura,Tempura2741,1285924,False,False,False,False
1305868,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85016.0,Cellulomonadaceae,1707.0,Cellulomonas,156981.0,Cellulomonas hominis,strain,Cellulomonas hominis JCM 12133,37.00,37.00,37.0,original,optimum,BacDive,2360,1305868,False,False,False,False
1316584,2.0,Bacteria,1239.0,Bacillota,909932.0,Negativicutes,909929.0,Selenomonadales,1843491.0,Selenomonadaceae,970.0,Selenomonas,135079.0,Selenomonas dianae,strain,Selenomonas dianae ATCC 43527,37.00,37.00,37.0,original,optimum,Tempura,Tempura1784,1316584,False,False,False,False
1341726,2157.0,Archaea,28890.0,Euryarchaeota,224756.0,Methanomicrobia,94695.0,Methanosarcinales,2206.0,Methanosarcinaceae,101191.0,Methanomethylovorans,1341726.0,Methanomethylovorans uponensis,species,Methanomethylovorans uponensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura3316,1341726,False,False,False,False
1384037,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85012.0,Streptosporangiales,83676.0,Nocardiopsaceae,104204.0,Streptomonospora,1384037.0,Streptomonospora tuzyakensis,species,Streptomonospora tuzyakensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura870,1384037,False,False,False,False
1386088,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85021.0,Intrasporangiaceae,53357.0,Intrasporangium,1386088.0,Intrasporangium chromatireducens,species,Intrasporangium chromatireducens,37.00,37.00,37.0,original,optimum,BacDive,6246,1386088,False,False,False,False
1407559,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85014.0,Glycomycetales,85034.0,Glycomycetaceae,58113.0,Glycomyces,1407559.0,Glycomyces fuscus,species,Glycomyces fuscus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3377,1407559,False,False,False,False
