ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
1857024,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85019.0,Brevibacteriaceae,1696.0,Brevibacterium,1857024.0,Brevibacterium sediminis,species,Brevibacterium sediminis,26.50,26.50,26.5,original,optimum,Tempura,Tempura6446,1857024,False,False,False,True
1867749,2.0,Bacteria,1224.0,Pseudomonadota,1807140.0,Acidithiobacillia,225057.0,Acidithiobacillales,225058.0,Acidithiobacillaceae,119977.0,Acidithiobacillus,1867749.0,Acidithiobacillus sulfuriphilus,species,Acidithiobacillus sulfuriphilus,26.50,26.50,26.5,original,optimum,aciDB,aciDB53,1867749,False,False,False,True
1930060,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,2033596.0,Arenivirga,1930060.0,Arenivirga flava,species,Arenivirga flava,26.50,26.50,26.5,original,optimum,Tempura,Tempura8356,1930060,False,False,False,True
1933880,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,1268.0,Micrococcaceae,1742989.0,Glutamicibacter,1933880.0,Glutamicibacter halophytocola,species,Glutamicibacter halophytocola,26.50,26.50,26.5,original,optimum,Tempura,Tempura6445,1933880,False,False,False,True
2006115,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,2887326.0,Moraxellales,468.0,Moraxellaceae,469.0,Acinetobacter,2006115.0,Acinetobacter piscicola,species,Acinetobacter piscicola,26.50,26.50,26.5,original,optimum,Tempura,Tempura7488,2006115,False,False,False,True
2022337,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,52959.0,Polaribacter,2022337.0,Polaribacter staleyi,species,Polaribacter staleyi,26.50,26.50,26.5,original,optimum,Tempura,Tempura7287,2022337,False,False,False,True
2066479,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,91347.0,Enterobacterales,1903410.0,Pectobacteriaceae,122277.0,Pectobacterium,2066479.0,Pectobacterium peruviense,species,Pectobacterium peruviense,26.50,26.50,26.5,original,optimum,Tempura,Tempura8168,2066479,False,False,False,True
2615207,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,356.0,Hyphomicrobiales,255475.0,Aurantimonadaceae,414371.0,Aureimonas,2615207.0,Aureimonas leprariae,species,Aureimonas leprariae,26.50,26.50,26.5,original,optimum,Tempura,Tempura7190,2615207,False,False,False,True
322509,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85007.0,Mycobacteriales,85029.0,Dietziaceae,37914.0,Dietzia,322509.0,Dietzia kunjamensis,species,Dietzia kunjamensis,25.00,25.00,26.67,average,optimum,BacDive,4258,322509,False,False,False,True
113571,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85008.0,Micromonosporales,28056.0,Micromonosporaceae,1865.0,Actinoplanes,113571.0,Actinoplanes rectilineatus,species,Actinoplanes rectilineatus,28.00,28.00,26.75,average,optimum,BacDive,7811,113571,False,False,False,True
300181,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,91347.0,Enterobacterales,1903411.0,Yersiniaceae,613.0,Serratia,300181.0,Serratia ureilytica,species,Serratia ureilytica,25.50,25.50,26.75,average,optimum,BacDive,5166,300181,False,False,False,True
501483,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,55968.0,Leucobacter,501483.0,Leucobacter tardus,species,Leucobacter tardus,21-30,25.50,26.75,average,optimum,BacDive,7354,501483,False,False,False,True
2371,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135614.0,Lysobacterales,32033.0,Lysobacteraceae,2370.0,Xylella,2371.0,Xylella fastidiosa,species,Xylella fastidiosa,27.00,27.00,27.0,original,optimum,"Lyubetsky et al., 2020",Lyu217,2371,False,False,False,True
28181,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,3031143.0,Magnetovibrionaceae,1313115.0,Magnetovibrio,28181.0,Magnetovibrio blakemorei,species,Magnetovibrio blakemorei,27.00,27.00,27.0,original,optimum,Tempura,Tempura7541,28181,False,False,False,True
34014,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,356.0,Hyphomicrobiales,82115.0,Rhizobiaceae,1612611.0,Pararhizobium,34014.0,Pararhizobium capsulatum,species,Pararhizobium capsulatum,27.00,27.00,27.0,original,optimum,Tempura,Tempura6924,34014,False,False,False,True
86176,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,72274.0,Pseudomonadales,135621.0,Pseudomonadaceae,286.0,Pseudomonas,86176.0,Pseudomonas meliae,species,Pseudomonas meliae,27.00,27.00,27.0,original,optimum,Tempura,Tempura5798,86176,False,False,False,True
