ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
160792,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,862261,Caldanaerobius,160792,Caldanaerobius zeae,species,Caldanaerobius zeae,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase348
186192,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,186191,Marinithermus,186192,Marinithermus hydrothermalis,species,Marinithermus hydrothermalis,67.50,67.50,67.50,original,optimum,Tempura,Tempura310
266825,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,266825,Thermus yunnanensis,species,Thermus yunnanensis,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase256
309798,2,Bacteria,2138240,Coprothermobacterota,2138243,Coprothermobacteria,2138246,Coprothermobacterales,2138247,Coprothermobacteraceae,68335,Coprothermobacter,35786,Coprothermobacter proteolyticus,strain,Coprothermobacter proteolyticus DSM 5265,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase297
309801,2,Bacteria,3027942,Thermomicrobiota,189775,Thermomicrobia,189776,Thermomicrobiales,189777,Thermomicrobiaceae,499,Thermomicrobium,500,Thermomicrobium roseum,strain,Thermomicrobium roseum DSM 5159,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase271
381764,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2422,Fervidobacterium,2424,Fervidobacterium nodosum,strain,Fervidobacterium nodosum Rt17-B1,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase229
501497,2,Bacteria,200940,Thermodesulfobacteriota,67799,Thermodesulfobacteria,188710,Thermodesulfobacteriales,3031464,Thermodesulfatatoraceae,241192,Thermodesulfatator,501497,Thermodesulfatator atlanticus,species,Thermodesulfatator atlanticus,67.50,67.50,67.50,original,optimum,Tempura,Tempura280
671065,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,41980,Metallosphaera,1111107,Metallosphaera yellowstonensis,strain,Metallosphaera yellowstonensis MK1,67.50,67.50,67.50,original,optimum,aciDB,aciDB179
869210,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,186191,Marinithermus,186192,Marinithermus hydrothermalis,strain,Marinithermus hydrothermalis DSM 14884,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase347
1006006,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,41980,Metallosphaera,1006005,Metallosphaera cuprina,strain,Metallosphaera cuprina Ar-4,65.00,65.00,67.50,average,optimum,ThermoBase,ThermoBase309
