ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
1510,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,216572,Oscillospiraceae,2304691,Thermoclostridium,1510,Thermoclostridium stercorarium,species,Thermoclostridium stercorarium,65.00,65.00,63.75,average,optimum,ThermoBase,ThermoBase1178
145262,2157,Archaea,28890,Euryarchaeota,183925,Methanobacteria,2158,Methanobacteriales,2159,Methanobacteriaceae,145260,Methanothermobacter,145262,Methanothermobacter thermautotrophicus,species,Methanothermobacter thermautotrophicus,60.00,60.00,63.75,average,optimum,"Lyubetsky et al., 2020",Lyu58
159731,2,Bacteria,1239,Bacillota,186801,Clostridia,2770089,Thermosediminibacterales,2770093,Thermosediminibacteraceae,159730,Thermovenabulum,159731,Thermovenabulum ferriorganovorum,species,Thermovenabulum ferriorganovorum,64.00,64.00,64.00,original,optimum,ThermoBase,ThermoBase276
291989,2,Bacteria,1239,Bacillota,186801,Clostridia,2770089,Thermosediminibacterales,2770093,Thermosediminibacteraceae,291988,Thermosediminibacter,291989,Thermosediminibacter litoriperuensis,species,Thermosediminibacter litoriperuensis,64.00,64.00,64.00,original,optimum,ThermoBase,ThermoBase275
2186,2157,Archaea,28890,Euryarchaeota,183939,Methanococci,2182,Methanococcales,2183,Methanococcaceae,155862,Methanothermococcus,2186,Methanothermococcus thermolithotrophicus,species,Methanothermococcus thermolithotrophicus,65.00,65.00,64.17,average,optimum,ThermoBase,ThermoBase372
405212,2,Bacteria,1239,Bacillota,91061,Bacilli,1385,Bacillales,186823,Alicyclobacillaceae,29330,Alicyclobacillus,405212,Alicyclobacillus acidocaldarius,species,Alicyclobacillus acidocaldarius,62.50,62.50,64.50,average,optimum,ThermoBase,ThermoBase389
2423,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2422,Fervidobacterium,2423,Fervidobacterium islandicum,species,Fervidobacterium islandicum,65.00,65.00,65.00,original,optimum,ThermoBase,ThermoBase239
2704,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,1754,Thermoanaerobacter,2704,Thermoanaerobacter acetoethylicus,species,Thermoanaerobacter acetoethylicus,65.00,65.00,65.00,original,optimum,ThermoBase,ThermoBase231
28262,2,Bacteria,40117,Nitrospirota,2811502,Thermodesulfovibrionia,2811503,Thermodesulfovibrionales,2811504,Thermodesulfovibrionaceae,28261,Thermodesulfovibrio,28262,Thermodesulfovibrio yellowstonii,species,Thermodesulfovibrio yellowstonii,65.00,65.00,65.00,original,optimum,"Lyubetsky et al., 2020",Lyu896
33070,2,Bacteria,1117,Cyanobacteriota,3028117,Cyanophyceae,2881383,Thermostichales,2881384,Thermostichaceae,2881385,Thermostichus,33070,Thermostichus lividus,species,Thermostichus lividus,65.00,65.00,65.00,original,optimum,ThermoBase,ThermoBase352
34092,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,64898,Aquificaceae,168657,Hydrogenobaculum,34092,Hydrogenobaculum acidophilum,species,Hydrogenobaculum acidophilum,65.00,65.00,65.00,original,optimum,ThermoBase,ThermoBase366
47303,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,2705406,Sulfuracidifex,47303,Sulfuracidifex metallicus,species,Sulfuracidifex metallicus,65.00,65.00,65.00,original,optimum,ThermoBase,ThermoBase310
53423,2,Bacteria,40117,Nitrospirota,2811502,Thermodesulfovibrionia,2811503,Thermodesulfovibrionales,2811504,Thermodesulfovibrionaceae,28261,Thermodesulfovibrio,53423,Thermodesulfovibrio islandicus,species,Thermodesulfovibrio islandicus,65.00,65.00,65.00,original,optimum,Tempura,Tempura344
